Fund_id,Project_id,Donor_num,Cum_amount,Target_amount
756,53443370842360133IK20597,192,407.83,1000000.00 
426,53262886610063340PR46287,670,1741.09,3000000.00 
528,53109057396988663JL78288,1942,19505.85,176667.00 
834,53986895865117313DR45619,1939,96044.34,2000000.00 
970,53126441124237367QT37021,682,3883.31,1000000.00 
794,53152648158279106VP41916,5042,209980.41,5000000.00 
776,53521738983167132UD44869,185,1038.91,455320.00 
233,53262943211088544RJ58654,255,1744.44,1680000.00 
519,53239779740786356ON76625,1299,22281.81,309331.00 
758,53710581694217228IJ42597,1461,6133.18,363158.00 
758,53563256557595818VG72293,542,1026.56,112842.00 
794,53444525949830294JF63739,2048,26880.47,50000.00 
714,53407783466151135MI84310,76,22.69,10000.00 
770,53206668440682476XA93736,2005,15943.69,200000.00 
770,53461150536597559PO55457,1304,10595.75,200000.00 
888,53580268014693267GP35860,1281,9973.38,50000.00 
888,53219540585009588OL33513,802,5730.38,1000000.00 
980,53801860304848475ZU61987,827,6592.38,4800000.00 
803,53593768167888766JC94109,16216,1334574.09,2000000.00 
756,53176701159164704KK65727,402,1864.67,10000000.00 
805,53348760690481833OZ58912,600,4459.46,5000000.00 
794,53697243913840406QJ57630,743,6878.41,200000.00 
794,53363772245314241CX76167,650,6523.13,50000.00 
745,53199151658821406AU67939,1828,25167.9,1000000.00 
794,53336526647309281DA89266,673,6319.02,100000.00 
794,53539981906869538XL12477,468,3362.32,50000.00 
160,53821475698852616CG29916,668,4812,300000.00 
863,53320774681001242LO38063,400,2701.51,200000.00 
863,53514652114667997OE50006,413,5673.45,200000.00 
977,53590038675228094XV26955,1561,9503.55,1053360.00 
424,53717488814178998MN28924,421,3792.56,300000.00 
406,53274590319634266KV66276,1739,17241.76,55000.00 
721,53620038041473933FS28974,1519,17459.88,511053.00 
766,53564615052605821IE62066,1301,36911.49,100000.00 
794,53166057736996392KK64017,471,4556.45,50000.00 
794,53627573285472529LN38264,560,6433.22,100000.00 
324,53214543635525028RI80498,214,274.12,20000000.00 
324,53439821319736084SJ46927,761,15228.82,386000.00 
794,53757219230773152EX44966,383,2665.8,100000.00 
794,53831549214570307BD70199,1519,193357.12,2000000.00 
794,53576785371974365RY74397,335,2272.69,100000.00 
794,53337069657782443SS30402,353,7615.9,150000.00 
794,53817263446507736QA84031,279,6655.19,100000.00 
756,53246144012941792JT11646,728,1031.94,440000.00 
299,53807696275386233BE44356,916,25484.69,50000.00 
794,53419322043256076WR99241,4594,301221.95,2000000.00 
794,53977742971011856UT43717,7511,437669.57,2000000.00 
794,53828267927169410XQ18163,910,5733.99,1093400.00 
776,53165965206971996NN81606,1686,9093.81,290000.00 
212,53604322303370274JL71633,697,3230.78,306000.00 
212,53621819048985674YK17660,1339,58833.58,500000.00 
255,53640287000908666ZC73587,800,5787.12,7150000.00 
212,53666372189371691PU96239,1348,61173,178494.00 
212,53374461231511025NX13455,12363,593402.99,990000.00 
504,53821641014878358ZQ76415,700,3599.7,216889.00 
749,53539910739615308PV92080,665,2086.02,25000.00 
749,53645543253776889WA29882,768,18665.33,45360.00 
749,53219603908473163MR15144,1611,56278.29,86900.00 
749,53670091191532813OE81951,683,21648.59,84000.00 
307,53585271176098620BA46160,3884,71267.3,2000000.00 
776,53411862504765478DR45119,476,13662.83,82600.00 
737,53425110907992362YS33526,1362,8739.43,25258.00 
765,53500598426702693RB36679,1453,9794.48,200000.00 
740,53249093601689865SF23978,1131,9588.53,100000.00 
725,53267879896877146XJ66818,535,1932.3,55000.00 
212,53404133951760169TA32009,747,3609.39,486000.00 
725,53887773990592308FX92295,741,15713.19,150000.00 
212,53127389307871912VT35774,1674,10356.56,100000.00 
794,53633890800168652NH40356,3607,227830.1,6000000.00 
794,53639335671729542TW42549,1096,116379.15,150000.00 
794,53108549545052144KY93343,547,6156.28,150000.00 
794,53541184805710362ZR63494,628,7220.77,190000.00 
794,53446290719938467SN83012,371,2604.11,100000.00 
794,53749258567405367QT41280,714,9470.97,100000.00 
794,53444240748384266VQ15875,351,2508.68,100000.00 
888,53215939347882529BI15135,987,8385.71,200000.00 
888,53496826519741204AM43912,14183,300669.45,5000000.00 
888,53552988691045029QC96961,328,4983.43,100000.00 
980,53732869827532956BB11763,261,3292.58,120000.00 
750,53333792475884930GW31857,939,16036.58,3000000.00 
756,53359629417141223SG98300,241,571.68,201850.00 
424,53191513473711423XM81230,457,3099.19,300000.00 
424,53141996490568126SH94813,426,3735.01,150000.00 
